Date,AAPL,GOOGL,JNJ,JPM,MSFT,NVDA,TSLA,XOM
2025-01-28,236.9655303955078,194.53811645507812,145.91348266601562,261.7724609375,442.9143371582031,128.95472717285156,398.0899963378906,103.5251235961914
2025-01-29,238.05953979492188,194.64767456054688,146.66061401367188,261.22369384765625,438.09100341796875,123.66616821289062,389.1000061035156,104.12879943847656
2025-01-30,236.29916381835938,200.0863800048828,148.32952880859375,262.8405456542969,411.01300048828125,124.61592102050781,400.2799987792969,104.99119567871094
2025-01-31,234.71778869628906,203.2240753173828,147.6309051513672,261.92926025390625,411.08233642578125,120.03717041015625,404.6000061035156,102.3656997680664
2025-02-03,226.77120971679688,200.4449462890625,147.35923767089844,261.4490661621094,406.98199462890625,116.62810516357422,383.67999267578125,102.61482238769531
2025-02-04,231.5352020263672,205.57489013671875,148.9311065673828,262.556396484375,408.4181213378906,118.6175537109375,392.2099914550781,105.3648910522461
2025-02-05,231.2069854736328,190.58358764648438,150.09547424316406,264.996337890625,409.329345703125,124.79586029052734,378.1700134277344,105.2882308959961
2025-02-06,231.9529266357422,190.85255432128906,148.95050048828125,271.33636474609375,411.83502197265625,128.64480590820312,374.32000732421875,103.89883422851562
2025-02-07,226.39328002929688,184.616943359375,148.57208251953125,270.2584533691406,405.8232116699219,129.80447387695312,361.6199951171875,104.33960723876953
2025-02-10,226.662109375,185.7425537109375,149.6588592529297,265.5941162109375,408.2695617675781,133.53347778320312,350.7300109863281,106.33267974853516
2025-02-11,231.6105194091797,184.5970458984375,151.49270629882812,269.4646911621094,407.49700927734375,132.76370239257812,328.5,107.0034408569336
2025-02-12,235.84210205078125,182.89370727539062,150.64854431152344,269.91546630859375,405.1200256347656,131.10414123535156,336.510009765625,103.7840576171875
2025-02-13,240.4818878173828,185.41383361816406,152.5794219970703,270.7679748535156,406.6056213378906,135.25299072265625,355.94000244140625,104.53814697265625
2025-02-14,243.53855895996094,184.50738525390625,151.51211547851562,271.0325927734375,404.515869140625,138.81202697753906,355.8399963378906,104.64448547363281
2025-02-18,243.40911865234375,183.0531005859375,151.59036254882812,274.3250732421875,405.71429443359375,139.36187744140625,354.1099853515625,106.48137664794922
2025-02-19,243.80738830566406,184.5472412109375,154.42674255371094,273.6391296386719,410.79510498046875,139.1919403076172,360.55999755859375,106.63606262207031
2025-02-20,244.7632293701172,183.83999633789062,156.17745971679688,261.43927001953125,412.968505859375,140.0717010498047,354.3999938964844,108.27959442138672
2025-02-21,244.4844207763672,178.95912170410156,158.74000549316406,258.93072509765625,405.1086120605469,134.3932342529297,337.79998779296875,107.01311492919922
2025-02-24,246.02769470214844,178.5507354736328,160.14842224121094,256.0889587402344,400.9306335449219,130.244384765625,330.5299987792969,107.57383728027344
2025-02-25,245.96795654296875,174.73565673828125,162.44686889648438,252.22811889648438,394.8769836425781,126.59537506103516,302.79998779296875,106.08499145507812
2025-02-26,239.31695556640625,172.05613708496094,159.50291442871094,253.59024047851562,396.693115234375,131.24411010742188,290.79998779296875,105.82396697998047
2025-02-27,236.27024841308594,167.8426513671875,160.1386260986328,253.84498596191406,389.5477600097656,120.11714935302734,281.95001220703125,106.49104309082031
2025-02-28,240.79052734375,169.61570739746094,161.4003448486328,259.3324890136719,393.973876953125,124.8858413696289,292.9800109863281,107.63184356689453
2025-03-03,236.9970703125,166.35845947265625,163.6107635498047,255.38345336914062,385.5384521484375,114.02880859375,284.6499938964844,104.18043518066406
2025-03-04,234.9061737060547,170.25320434570312,161.79156494140625,245.22178649902344,385.65753173828125,115.95829010009766,272.0400085449219,103.96774291992188
2025-03-05,234.71701049804688,172.34503173828125,161.49813842773438,246.47608947753906,397.9732666015625,117.26792907714844,279.1000061035156,101.9375
2025-03-06,234.30877685546875,171.6776580810547,162.19256591796875,241.5863494873047,393.87469482421875,110.53976440429688,263.45001220703125,104.04508972167969
2025-03-07,238.0325469970703,173.18173217773438,163.03372192382812,237.4119415283203,390.32183837890625,112.65919494628906,262.6700134277344,105.39857482910156
2025-03-10,226.4928436279297,165.41319274902344,164.02154541015625,227.55409240722656,377.271728515625,106.95075225830078,222.14999389648438,108.08623504638672
